idx,sentence,label
0,hide new secretions from the parental units ,0
1,"contains no wit , only labored gags ",0
3,remains utterly satisfied to remain the same throughout ,0
4,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0
5,that 's far too tragic to merit such superficial treatment ,0
8,a depressed fifteen-year-old 's suicidal poetry ,0
10,goes to absurd lengths ,0
11,for those moviegoers who complain that ` they do n't make movies like they used to anymore ,0
12,"the part where nothing 's happening , ",0
13,saw how bad this movie was ,0
14,lend some dignity to a dumb story ,0
16,cold movie ,0
18,redundant concept ,0
24,excruciatingly unfunny and pitifully unromantic ,0
26,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0
29,"the plot is nothing but boilerplate clichés from start to finish , ",0
30,the action is stilted ,0
32,"will find little of interest in this film , which is often preachy and poorly acted ",0
33,by far the worst movie of the year ,0
34,"sit through , ",0
38,oblivious to the existence of this film ,0
40,"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ",0
41,sometimes dry ,0
42,"as they come , already having been recycled more times than i 'd care to count ",0
44,a $ 40 million version of a game ,0
47,as a fringe feminist conspiracy theorist ,0
49,disappointments ,0
50,the horrors ,0
52,many pointless ,0
54,"contrived , well-worn situations ",0
55,a doa ,0
56,poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ,0
59,far less sophisticated and ,0
61,no apparent joy ,0
62,shot on ugly digital video ,0
63,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,0
64,"though ford and neeson capably hold our interest , but its just not a thrilling movie ",0
66,we never feel anything for these characters ,0
67,'s a lousy one at that ,0
68,the corporate circus that is the recording industry in the current climate of mergers and downsizing ,0
70,of the most highly-praised disappointments i ,0
71,"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ",0
73,to the dustbin of history ,0
74,"as a director , eastwood is off his game ",0
76,weak and ,0
77,"skip this dreck , ",0
78,contains very few laughs and even less surprises ,0
85,", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",0
90,that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,0
92,strung-together moments ,0
96,overbearing and over-the-top ,0
102,yet this grating showcase ,0
104,addition to sporting one of the worst titles in recent cinematic history ,0
