text,label,task
They drank the pub.,0,eng
The professor talked us.,0,eng
We yelled ourselves.,0,eng
We yelled Harry hoarse.,0,eng
Harry coughed himself.,0,eng
Harry coughed us into a fit.,0,eng
They caused him to become angry by making him.,0,eng
They caused him to become president by making him.,0,eng
They made him to exhaustion.,0,eng
The car honked down the road.,0,eng
The dog barked out of the room.,0,eng
The witch went into the forest by vanishing.,0,eng
The building is tall and tall.,0,eng
This building is taller and taller.,0,eng
This building got than that one.,0,eng
This building is than that one.,0,eng
Bill floated into the cave for hours.,0,eng
Bill pushed Harry off the sofa for hours.,0,eng
Bill cried Sue to sleep.,0,eng
The elevator rumbled itself to the ground.,0,eng
She yelled hoarse.,0,eng
Ted cried to sleep.,0,eng
The ball wriggled itself loose.,0,eng
"The most you want, the least you eat.",0,eng
"I demand that the more John eat, the more he pay.",0,eng
"I demand that John pays more, the more he eat.",0,eng
"You get angrier, the more we eat, don't we.",0,eng
"The harder it has rained, how much faster a flow that appears in the river?",0,eng
"The harder it rains, how much faster that do you run?",0,eng
"The harder it rains, how much faster a flow that do you see in the river?",0,eng
"As it rains harder, how much faster a flow that appears in the river?",0,eng
"When it rains harder, how much faster a flow that appears in the river?",0,eng
"The more John eats, the tighter keep your mouth shut about it.",0,eng
"The more everyone eat, the more John keeps his big mouth shut about it, OK?",0,eng
"I can well imagine the more him eating, the fatter him getting.",0,eng
"Bill can well imagine the more he eats, the fatter getting.",0,eng
"It is important the more you eat, the more careful to be.",0,eng
"It is important for the more you eat, the more careful to be.",0,eng
"It is important the more you to eat, the more careful to be.",0,eng
"It is important the more you eat, the more careful you to be.",0,eng
"It is important the more you eat, the more careful for you to be.",0,eng
"It is important for the more you to eat, the more careful to be.",0,eng
"It is important for the more you to eat, the more careful for you to be.",0,eng
"It is important the more you to eat, the more careful for you to be.",0,eng
"It is important for the more you eat, the more careful you to be.",0,eng
I can well imagine quickly Mary answering the question.,0,eng
I can well imagine with a hatchet Mary destroying the Jeep.,0,eng
"I can well imagine if he eats more, him getting fat.",0,eng
"It is not entirely obvious if, Mary listens to the Grateful Dead, she gets depressed.",0,eng
"It is not entirely obvious whether, Mary listens to the Grateful Dead, she gets depressed.",0,eng
"The more pictures Mary looked at, she got angrier and angrier.",0,eng
"His expectations lower, the higher the stakes.",0,eng
"His expectations lower, the higher the stakes are.",0,eng
"The more obnoxious Fred, the less attention you should pay to him.",0,eng
"The more obnoxious Fred, the less you should pay attention to him.",0,eng
"I don't plan to lock the door, no matter how fancy this hotel.",0,eng
"I'm going out, wherever that hurricane.",0,eng
The more food Mary knows a man that eats the poorer she gets.,0,eng
The fatter he goes to a doctor when he gets the more he eats.,0,eng
"The fatter that that he gets bothers him, the more he eats.",0,eng
"The more books I ask to whom he will give, the more he reads.",0,eng
The more people I ask what he will give to the more he reads.,0,eng
The more carefully he knows a man that worded the letter the safer he'll be.,0,eng
"The more John meets geniuses, the angrier he gets.",0,eng
"The more people you say that will buy tickets, the happier I'll be.",0,eng
"The more he eats, the poorer he knows a woman that gets.",0,eng
"The more he eats, the fatter he goes to a doctor when he gets.",0,eng
"The more he eats, the fatter that that he gets really bothers me.",0,eng
"The more he reads, the more books I wonder to whom he will give.",0,eng
"The more he reads, the more people I wonder what he will give to.",0,eng
"The sooner you call, the more carefully I know a man that will word the letter.",0,eng
"The richer he gets, the more John meets geniuses.",0,eng
"The more articles he reads, the fewer people he thinks that will go into linguistics.",0,eng
The more pictures of John that he buys the more arrogant he becomes.,0,eng
The man arrived on the train was my brother.,0,eng
"The more people everyone who likes pays attention to, the happier we all are.",0,eng
"The later it gets, the more people everyone who likes pays attention to.",0,eng
"When Bill smokes, much more does Susan hate him.",0,eng
"When Bill smokes, all the more Susan hates him.",0,eng
"You eat the more, the more you want.",0,eng
"The more you eat, you want the more.",0,eng
I wonder you ate how much.,0,eng
"He gets angry, the longer John has to wait.",0,eng
He gets angry if John has to wait.,0,eng
"The more pictures of himself appear in the news, the more likely John is to get arrested.",0,eng
"The more that pictures of himself appear in the news, the more likely John is to get arrested.",0,eng
"The more that John gets upset by them, the more that stories about himself seem to show up in the news.",0,eng
"Stories about himself seem to show up more on the evening news, the more that John gets upset by them.",0,eng
"We gave him enough opportunity and, sure enough, every senator succumbed to corruption.",0,eng
You give every senator enough opportunity and he will succumb to corruption.,0,eng
"We gave any senator enough opportunity and, sure enough, he succumbed to corruption.",0,eng
"We gave every senator enough opportunity and, sure enough, he succumbed to corruption.",0,eng
"The more time that every senator spends with lobbyists, the more likely he succumbs to corruption.",0,eng
"He seems to become more corrupt, the more lobbyists any senator talks to.",0,eng
"He seems to become more corrupt, the more lobbyists every senator talks to.",0,eng
"He seems to become more corrupt, if any senator talks to more lobbyists.",0,eng
"He seems to become more corrupt, if every senator talks to more lobbyists.",0,eng
"He seems to become more corrupt, as every senator talks to more lobbyists.",0,eng
"He seems to become more corrupt, as any senator talks to more lobbyists.",0,eng
"It is the folks up at corporate headquarters who the sooner you solve this problem, the more easily you'll satisfy.",0,eng
"Which problem the sooner you solve, will the more easily you satisfy the folks up at corporate headquarters?",0,eng
"Which problem does the sooner that you solve, the more easily you'll satisfy the folks up at corporate headquarters?",0,eng
"Which problem the sooner that you solve, will the more easily you satisfy the folks up at corporate headquarters?",0,eng
"The harder it rains, the faster who runs?",0,eng
"The louder who talks, the angrier you get?",0,eng
"I finally worked up enough courage to ask which people up at corporate headquarters the sooner I solve this problem, the quicker I'll get free of.",0,eng
"Which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?",0,eng
This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve.,0,eng
This is a problem that you solve it and you'll be able to tell the folks up at corporate headquarters to buzz off.,0,eng
Those are the folks that you just solve this problem and you'll be able to put them on ice.,0,eng
"They failed to tell me which problem I'll beat the competition more easily, the sooner I solve.",0,eng
"This is the problem that you'll beat the competition more easily, the sooner you solve.",0,eng
He hit the ball.,0,eng
She hit the ball.,0,eng
Am not I going?,0,eng
I aren't going.,0,eng
Marianne not left.,0,eng
Marianne left not.,0,eng
Can he not have been working?,0,eng
John write books.,0,eng
John wrote books.,0,eng
John seems that is nice.,0,eng
John kisses often Mary.,0,eng
Who did you ask whether Mary knows why John likes?,0,eng
How do you wonder whether Mary solved the problem?,0,eng
How do you wonder whether John said that Mary solved the problem?,0,eng
How do you wonder whether John said Mary solved the problem?,0,eng
Which problem do you wonder whether John said that Mary solved?,0,eng
Mary thinks that John said that Susan likes pictures of himself?,0,eng
You will Bob believe.,0,eng
