text,label
"Palestine minister briefs Salam, Bassil on crisis. Prime Minister Tammam Salam meets with Palestinian Foreign Minister Riyad al-Maliki at the",palestine
"While overseas this week, President Obama has weighed in multiple times on the ongoing debate in the U.S. over Syrian refugees """""" often",obama
"KUALA LUMPUR, Malaysia (AP) """""" President Barack Obama promised that Islamic extremists would find no safe haven anywhere, while the",obama
Below are eight of the strangest economic ideas on display at the Milwaukee Republican debate. Spoiler: No candidate gets away scot-free.,economy
"While a hand full of hardware manufacturers have dabbled with the concept of a dual-booting OS capable devices, few have done so while",microsoft
"Microsoft updated its CRM and SQL offerings and Intel showcased its IoT efforts. Meanwhile, the US Supreme Court is weighing questions",microsoft
"HEBRON, November 28, 2015 (WAFA) """""" Dozens of Palestinians suffocated during clashes that erupted with Israeli forces in the town of Beit Ummar to the south",palestine
ISLAMABAD - Minister for Finance and Economic Affairs Senator Ishaq Dar said on Wednesday that Pakistan was using multipronged,economy
"According to a Microsoft blog, researcher Mike Sinclair developed an ultra-low processor """""" powered by lithium batteries and only dispensing",microsoft
"The Surface Book laptop was probably Microsoft’s most interesting announcement from its Windows 10 event. It’s a device that’s been highly praised in reviews, though people don’t like what Microsoft has done with the price. While many reviews go into the overall experience with the device, both in laptop and tablet modes, there’s one hands-on experience with the Surface Book that you shouldn’t ",microsoft
Palestinian Charge d'Affaires in Dhaka Yousuf S Ramadan has blamed Israel for acts of 'terrorism' in Bangladesh.,palestine
"Organised by the Palestinian Return Centre (PRC) and the Council of European Palestinian Relations (CEPR) this vital seminar, which was",palestine
Israeli forces reportedly prevented the Palestinian Red Crescent paramedics' access to the scene of the shooting. They further closed the,palestine
(CNN) U.S. President Barack Obama toughened his rhetoric against ISIS at a weekend press conference in Malaysia that concluded his,obama
"If you're one of the people who went out and got themselves a Microsoft Band 2 early on, then you may have found yourself dealing with a brief",microsoft
Disarray is putting it mildly. Coming to a collective view on war and death and what to do about Syria was never going to happen in the Labour,palestine
Saudi Arabia dropped points for the first time in World Cup 2018 qualifying as they played out a goalless draw with Palestine. Saudi Arabia's,palestine
"President Obama's rising indignation at opponents of his open-door Syrian refugee policy is all the more striking because a decade ago he was one of those opponents, chastising then-President George W. Bush for trying to speed through a deal to transfer operations of major U.S. ports to a company from ",obama
"Microsoft Corporation (NASDAQ:MSFT) reduced -1.38% to finish at $54.16 in previous trading session. Boeing, Nike additionalmore Apple",microsoft
"NABLUS, November 28, 2015 (WAFA) """""" Israeli forces Saturday chased Palestinian olive pickers off their land in the town of Burin to the south of Nablus,",palestine
"Microsoft may have burned off one bridge, but it is still building a different, and perhaps more critical build. Redmond has officially declared Project Astoria, the bridge that would let Android developers easily port their apps to Windows 10, dead but Project Centennial seems to be very much alive and kicking. In fact, it might have an rather ambitious demo … Continue reading ",microsoft
"For 42 years, he worked on the assembly line at International Harvester assembling agriculture machinery and construction equipment.",palestine
Microsoft Research's Oxford API lets developers put artificial intelligence in their apps - for free ,microsoft
