text,label
She lost her son 6 years ago in a suicide bombing. She visits his work place weekly and cleans the Ambulance he used t…,1
Map of 379k tweets from 190k accounts on Aus bushfires and arson. The narrative that arsonists (and not climate change) are res…,0
"#Bhainsa , 18 houses belonging to Hindus burnt and properties looted by Muslim mob : Local Muslim youth were enraged af…",0
NWS Alert&gt; Strong Thunderstorm Near Glen Allan or 11 Miles S of Avon Moving E At 50 MPH. Dime Size Hail Possible. L… https://t.co/vW56BZoiee,1
What have I told you about burning buildings? Not nice https://t.co/qWUiDuiOwE https://t.co/N2JEkmWwL3,0
I believe this is the most credible current information on arsonists and… https://t.co/5aunr5kveV,1
bleeding,0
Puerto Rico Worker explains Earthquake aftershock. Pleading to go viral https://t.co/hhfjQNLEt8 via,0
"We named ""the life of phantom"", TSUKUSHI. It was a night with the red moon blazing beautifully./幻の命 #sekainoowari",0
Common sense on Twitter... Is this the first sign of the apocalypse 😂 you look great!,1
"On Sunday Davinder Singh, posted with the strategic anti-hijacking team at Srinagar airport, was arrested along wit… https://t.co/zZIOMtDNpJ",1
2600 souls came home in body bags on Obama’s watch a war he campaigned on ending and you were so quiet… https://t.co/VkTxnuiwQQ,1
"Officials Charge Nearly 200 with Arson, Looting as Wildfires Rage https://t.co/sY2lhGhsGZ",1
Library of Alexandria may have burned but the contents were saved. Check the Vatican 👀 the world need…,0
Human body parts found stuffed in bag as police probe 'suspicious' death https://t.co/LzeJVVueHi. Suspicious? Ya don't say.,1
"Hillary Clinton: “If I’m President, We Will Attack Iran… We Would be Able to Totally Obliterate Them.” https://t.co/SE…",1
Schumer Renews Call For Suicide Bomb Detectors At Penn Station https://t.co/a6WnGqDaCj https://t.co/zZKhKxCFt9,1
I’m sure the Russian Owned PM will be sending troops to back up his mate in the US. Sadly… https://t.co/FbCvF8Rqsg,1
🚨 AUSTRALIA IS ON FIRE 😭 At least 24 people have so far been killed - including three volunteer firefighters - and mor…,1
Yo! I was just telling my boyfriend that I was trying to eat healthier to prepare my body to have children (as I wa… https://t.co/J0r825kpsd,0
thank you so much Nadd!! ✨✨,0
Bhimsen was in his mother's womb when we rescued his mother. We rescued his mother and within days she gave birth to t…,1
Snowmobiler dies in Eastern Oregon avalanche - KTVZ https://t.co/CnJoXRE0pD,1
Bloody hell there was a lot of binges this morning! On a Tuesday morning too?! One Gooood boy catching up and a few… https://t.co/vn24U6wbxi,0
"Aussies employed in the transport, postal and warehousing industry face the greatest risks, with 55 deaths in this… https://t.co/vcz9mTc3hO",1
That feeling when you turn in a 20pg paper on #bioterrorism &amp; #civilliberties! 🤓 📚 👩🏼‍🎓 #GradLife 🙌🏼 http…,0
"The archdemon, it ""talks"" to the horde, and we feel it just as they do. That's why we know this is really a Blight.",0
K-One Its offline protest is ongoing right now. LED trucks are currently in Yuehua. One Its! This fight is not an over…,0
Simple. The Arabs rejected out of hand the 1947 UN Partition Plan and instead waged a War… https://t.co/Gauqyo8bW2,1
"Also, with the announcement of Overwatch 2(which don’t get me wrong I will play tons of), Blizzard has already slow… https://t.co/mCrN7yStna",0
The price of consumer goods has increased by a factor of 4 since the late 1970s while college costs have increased by a fac…,0
"#Iran, grappling with unrest over the Ukrainian plane crash, warns protesters it will do everything necessary to protect the p…",1
Q / [ CEMEX] + [ EPSTEIN] + ADRENOCHROME/ HOW to hide the evidence/ think [ Hemoglobin] / quick search U.S. pat…,0
"Stretch tax deadline or Flybe will shut down, airline tells government https://t.co/D5Ayqu9xwc",0
"Despite extensive hazard reduction burning across the country over the past decade, some are arguing these #bushfires are evide…",0
"JCPOA preamble: “Iran reaffirms that under no circumstances will Iran ever seek, develop or acquire any nuclear weapons.”",1
I'll never forget #Rashideen. 126 dead and at least 80 children deliberately targeted by a rebel suicide bomber offering them…,1
Demolition has begun on the burned out buildings in #BoundBrook. Slow process. Investigation into how/where it started…,1
Asansol: A BJP office in Salanpur village was set ablaze last night. BJP has alleged that TMC is behind the incident. Police has b…,1
Bioterrorism is my biggest fear,0
You blew up Hogwarts didn’t you..,0
Its now clear that Zimbabweans realised that Nov 2017 was a huge tragedy and are in worse political and economic condi…,1
Emergency Services Commissioner Andrew Crisp says most Victorian fires started by lightening. Not aware of any police…,0
"The #Nola Warehouse District is so packed, Tchoupitoulas is closed from Poydras to Julia. It’s pandemonium and …",1
"If you like knitting, you might want to help the Animal Rescue Craft Guild in Australia by knitting a cosy nest, pouch…",0
History is going to record that the US tried to kickstart a war and it backfired when the target accidentally shot… https://t.co/35aDgGlrzs,1
"""As If Jama Masjid Is In Pak"": Judge Rebukes Cops In Bhim Army Case https://t.co/V3wdkPhVq0 #NDTVNewsBeeps #BhimArmy https://t.co…",1
